Type,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Method,Private Method - br.com.goclip.model.DocumentIntegrationTest.shouldFilterNotApprovedDocs.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentIntegrationTest.shouldShowDocumentAfterApproval.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.DocumentIntegrationTest.shouldShowDocumentAfterApproval.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.documento.Document.calculateExpirationDate.(lambda_expr_1),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.documento.Document.calculateExpirationDate.(lambda_expr_2),,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,0,6,1,0,0,0,0,0,1,1,1,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.documento.Document.validateFileType,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,8,1,4,0,3,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.documento.DocumentHistory.checkActionOccurrence,,,,,,,,,,,,,,,,,,,,,,,,,7,7,0,7,5,5,0,9,1,0,5,6,5,1,3,3,3,1,0,,,,,0,,0,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.documento.DocumentHistory.generateAction,,,,,,,,,,,,,,,,,,,,,,,,,13,37,0,37,5,30,2,20,4,1,21,24,4,20,6,3,10,1,3,,,,,0,,2,0,,0.05,,,,
Method,Private Method - br.com.goclip.model.documento.DocumentHistory.generateEditVersion,,,,,,,,,,,,,,,,,,,,,,,,,4,17,0,17,5,13,0,12,4,1,10,15,6,9,4,4,4,1,1,,,,,0,,3,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.documento.DocumentHistory.getS3LastModified,,,,,,,,,,,,,,,,,,,,,,,,,3,9,0,9,3,6,0,4,2,0,4,6,3,3,2,2,2,1,1,,,,,0,,1,0,,0.00,,,,
Method,Private Method - br.com.goclip.model.documento.ESDocument.initDocument,,,,,,,,,,,,,,,,,,,,,,,,,7,37,4,29,4,23,4,30,6,1,16,23,5,18,8,8,8,1,3,,,,,0,,4,0,,0.14,,,,
Method,Private Method - br.com.goclip.model.DocumentQueryBuilderTest.checkDateOrder,,,,,,,,,,,,,,,,,,,,,,,,,3,12,0,12,1,8,0,2,1,0,3,6,1,5,1,1,1,1,0,,,,,0,,2,0,,0.00,,,,
